iter	Passed	Remaining
0	95	56980
1	185	55382
2	280	55817
3	373	55711
4	471	56086
5	556	55082
6	640	54229
7	725	53656
8	811	53283
9	900	53138
10	986	52805
11	1063	52129
12	1139	51467
13	1215	50875
14	1292	50399
15	1367	49909
16	1442	49467
17	1517	49059
18	1607	49156
19	1703	49410
20	1798	49592
21	1888	49610
22	1969	49408
23	2064	49559
24	2159	49662
25	2241	49480
26	2318	49212
27	2421	49464
28	2517	49560
29	2608	49552
30	2693	49443
31	2777	49293
32	2867	49260
33	2953	49165
34	3034	48982
35	3111	48747
36	3188	48513
37	3270	48374
38	3347	48152
39	3424	47943
40	3502	47750
41	3578	47547
42	3658	47384
43	3732	47166
44	3828	47218
45	3920	47221
46	4015	47246
47	4106	47221
48	4200	47230
49	4307	47378
50	4397	47339
51	4494	47364
52	4591	47390
53	4683	47352
54	4773	47299
55	4868	47296
56	4958	47238
57	5039	47091
58	5118	46935
59	5202	46824
60	5276	46625
61	5351	46438
62	5430	46285
63	5506	46113
64	5580	45932
65	5655	45759
66	5731	45599
67	5805	45422
68	5880	45257
69	5956	45095
70	6028	44917
71	6110	44807
72	6187	44665
73	6263	44520
74	6348	44439
75	6428	44322
76	6502	44167
77	6574	43997
78	6653	43879
79	6732	43758
80	6810	43635
81	6899	43585
82	6980	43479
83	7057	43350
84	7132	43212
85	7211	43098
86	7290	42989
87	7372	42893
88	7448	42765
89	7523	42635
90	7603	42527
91	7681	42412
92	7759	42304
93	7838	42193
94	7912	42063
95	7999	41996
96	8085	41930
97	8190	41954
98	8278	41894
99	8369	41846
100	8456	41779
101	8557	41780
102	8650	41740
103	8739	41678
104	8831	41634
105	8924	41589
106	9007	41502
107	9084	41384
108	9168	41300
109	9253	41220
110	9336	41132
111	9417	41032
112	9495	40921
113	9569	40797
114	9654	40715
115	9733	40611
116	9809	40496
117	9884	40377
118	9960	40258
119	10043	40174
120	10121	40065
121	10197	39953
122	10274	39844
123	10354	39746
124	10430	39635
125	10505	39520
126	10583	39417
127	10661	39314
128	10745	39232
129	10826	39142
130	10904	39040
131	10986	38952
132	11064	38850
133	11144	38754
134	11231	38684
135	11312	38595
136	11400	38528
137	11491	38470
138	11578	38399
139	11667	38336
140	11754	38265
141	11840	38190
142	11927	38118
143	12035	38112
144	12126	38051
145	12227	38023
146	12321	37969
147	12415	37916
148	12512	37874
149	12611	37833
150	12710	37794
151	12804	37738
152	12905	37704
153	13013	37689
154	13103	37618
155	13186	37529
156	13270	37445
157	13356	37364
158	13445	37291
159	13527	37199
