iter	Passed	Remaining
0	79	47482
1	105	31497
2	133	26501
3	160	23941
4	191	22790
5	217	21549
6	244	20710
7	271	20079
8	298	19570
9	324	19151
10	351	18802
11	378	18551
12	405	18323
13	431	18057
14	458	17895
15	484	17673
16	507	17404
17	530	17166
18	554	16955
19	578	16763
20	604	16657
21	627	16483
22	651	16351
23	676	16235
24	701	16138
25	726	16034
26	750	15935
27	775	15841
28	800	15767
29	824	15664
30	851	15634
31	875	15539
32	900	15464
33	926	15421
34	949	15332
35	972	15237
36	996	15161
37	1023	15130
38	1047	15065
39	1072	15010
40	1096	14955
41	1122	14914
42	1147	14866
43	1171	14805
44	1194	14738
45	1219	14689
46	1245	14656
47	1270	14610
48	1293	14542
49	1329	14620
50	1353	14571
51	1377	14515
52	1401	14464
53	1424	14402
54	1451	14380
55	1475	14334
56	1498	14273
57	1521	14221
58	1546	14177
59	1571	14147
60	1596	14104
61	1620	14064
62	1643	14009
63	1669	13979
64	1693	13938
65	1718	13902
66	1745	13882
67	1774	13884
68	1799	13847
69	1820	13782
70	1842	13730
71	1866	13689
72	1892	13661
73	1916	13619
74	1940	13580
75	1964	13545
76	1988	13503
77	2011	13458
78	2035	13424
79	2059	13387
80	2085	13359
81	2108	13320
82	2132	13280
83	2157	13252
84	2181	13214
85	2205	13182
86	2227	13134
87	2250	13094
88	2275	13066
89	2307	13077
90	2356	13183
91	2381	13149
92	2405	13113
93	2429	13080
94	2459	13076
95	2482	13034
96	2506	12997
97	2532	12973
98	2570	13007
99	2606	13032
100	2635	13018
101	2663	13002
102	2690	12981
103	2719	12971
104	2747	12952
105	2774	12929
106	2803	12916
107	2830	12892
108	2856	12868
109	2885	12853
110	2914	12838
111	2943	12823
112	2976	12828
113	3010	12835
114	3042	12832
115	3070	12810
116	3098	12792
117	3126	12769
118	3155	12755
119	3187	12748
120	3213	12722
121	3240	12694
122	3270	12681
123	3298	12662
124	3325	12638
125	3352	12612
126	3382	12596
127	3414	12589
128	3443	12572
129	3470	12548
130	3498	12524
131	3524	12494
132	3551	12471
133	3580	12449
134	3606	12423
135	3631	12389
136	3660	12369
137	3695	12372
138	3724	12352
139	3752	12329
140	3780	12307
141	3812	12297
142	3839	12271
143	3868	12251
144	3897	12230
145	3923	12200
146	3968	12229
147	3997	12209
148	4030	12198
149	4057	12173
150	4085	12147
151	4112	12120
152	4136	12086
153	4166	12067
154	4193	12038
155	4219	12010
156	4245	11978
157	4277	11965
158	4302	11933
159	4330	11909
160	4359	11886
161	4385	11858
162	4414	11835
163	4444	11815
164	4470	11784
165	4499	11763
166	4525	11733
167	4552	11706
168	4579	11678
169	4605	11649
170	4631	11619
171	4661	11599
172	4687	11569
173	4717	11548
174	4742	11518
175	4774	11502
176	4803	11479
177	4831	11455
178	4861	11433
179	4889	11409
180	4916	11382
181	4946	11361
182	4972	11329
183	4998	11301
184	5025	11274
185	5070	11286
186	5098	11260
187	5125	11231
188	5149	11199
189	5181	11181
190	5209	11155
191	5235	11126
192	5264	11101
193	5291	11073
194	5319	11049
195	5347	11022
196	5373	10993
197	5402	10969
198	5430	10941
199	5459	10918
200	5489	10896
201	5519	10875
202	5545	10845
203	5574	10821
204	5599	10789
205	5628	10765
206	5653	10733
207	5680	10705
208	5709	10681
209	5740	10660
210	5766	10630
211	5792	10600
212	5816	10568
213	5844	10542
214	5872	10515
215	5897	10485
216	5926	10460
217	5954	10433
218	5980	10404
219	6008	10377
220	6041	10360
221	6070	10336
222	6098	10310
223	6136	10300
224	6166	10277
225	6194	10250
226	6220	10220
227	6247	10193
228	6276	10168
229	6302	10138
230	6332	10114
231	6356	10082
232	6384	10056
233	6410	10027
234	6438	9999
235	6463	9969
236	6492	9943
